DS,What,chr,GO,NS,enrichment,name,ratio_in_study,ratio_in_pop,p_uncorrected,depth,study_count,p_fdr_bh,study_items
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr6,GO:0065004,BP,e,protein-DNA complex assembly  ,62/651,62/921,2.78e-10,6,62,1.56e-06,"ASF1A, BRD2, CENPQ, HEY2, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AA, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BA, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, SHPRH, TSPYL1, TSPYL4"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr6,GO:0006334,BP,e,nucleosome assembly           ,61/651,61/921,5.08e-10,7,61,1.56e-06,"ASF1A, BRD2, CENPQ, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AA, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BA, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, SHPRH, TSPYL1, TSPYL4"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr6,GO:0071824,BP,e,protein-DNA complex subunit organization,62/651,63/921,4.9e-09,5,62,5e-06,"ASF1A, BRD2, CENPQ, HEY2, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AA, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BA, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, SHPRH, TSPYL1, TSPYL4"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr6,GO:0034728,BP,e,nucleosome organization       ,61/651,62/921,8.14e-09,6,61,7.13e-06,"ASF1A, BRD2, CENPQ, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AA, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BA, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, SHPRH, TSPYL1, TSPYL4"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr6,GO:0006338,BP,e,chromatin remodeling          ,67/651,69/921,1.01e-08,5,67,7.73e-06,"ARID1B, ASF1A, BRD2, CENPQ, ESR1, HDAC2, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AA, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BA, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, MYB, SHPRH, SIRT5, TSPYL1, TSPYL4, UBR2"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr6,GO:0006325,BP,e,chromatin organization        ,72/651,76/921,1.14e-07,4,72,7.73e-05,"ARID1B, ASF1A, BAG6, BRD2, CENPQ, DEK, ESR1, HDAC2, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AA, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BA, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, HMGN3, L3MBTL3, MYB, PHF1, SHPRH, SIRT5, TSPYL1, TSPYL4, UBR2"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr6,GO:0016043,BP,e,cellular component organization,189/651,229/921,3.61e-06,3,189,0.00185,"ACOT13, AGER, AHI1, AIF1, ALDH5A1, APOM, ARID1B, ASCC3, ASF1A, ATG5, ATP6V1G2, BAG6, BAK1, BLOC1S5, BRD2, C6orf15, CD2AP, CENPQ, CEP57L1, CLDN20, COL10A1, COL12A1, COL9A1, CRISP1, CSNK2B, DCDC2, DDR1, DDX39B, DEK, DOPEY1, DSP, DST, DTNBP1, DYNLT1, EDN1, EHMT2, EPHA7, ESR1, FBXO5, FGD2, FGFR1OP, FIG4, FLOT1, FOXC1, FOXF2, FYN, GCLC, GGNBP1, GJA10, GMNN, GOPC, HDAC2, HEY2, HFE, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AA, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BA, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, HLA-DMA, HLA-DRB1, HMGN3, HSP90AB1, IER3, KATNA1, KCNQ5, KCTD20, KIAA1009, KIF13A, KIFC1, L3MBTL3, LAMA2, LAMA4, LATS1, LRRC16A, LST1, MAP7, MDN1, ME1, MICAL1, MSH5, MTCH1, MTFR2, MTRF1L, MYB, MYO6, NDUFAF4, NEDD9, NUP153, NUP43, OOEP, PARK2, PERP, PEX3, PEX7, PFDN6, PHACTR1, PHF1, PHIP, PLN, PTK7, PTPRK, RAB23, RAB32, RANBP9, RIPK1, RPL10A, RPS10, RPS12, RPS18, RPS6KA2, RSPH4A, RSPH9, SHPRH, SIRT5, SNX9, SOD2, STX11, SYNE1, SYNGAP1, TAPBP, TBPL1, TCP1, TFAP2A, TMEM30A, TNF, TNFAIP3, TNXB, TREM2, TRIM27, TSPYL1, TSPYL4, TTK, TUBB, TUBE1, UBR2, VEGFA, WASF1, ZKSCAN3"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr6,GO:0071840,BP,e,cellular component organization or biogenesis,190/651,231/921,5.77e-06,2,190,0.00253,"ACOT13, AGER, AHI1, AIF1, ALDH5A1, APOM, ARID1B, ASCC3, ASF1A, ATG5, ATP6V1G2, BAG6, BAK1, BLOC1S5, BRD2, C6orf15, CD2AP, CENPQ, CEP57L1, CLDN20, COL10A1, COL12A1, COL9A1, CRISP1, CSNK2B, DCDC2, DDR1, DDX39B, DEK, DOPEY1, DSP, DST, DTNBP1, DYNLT1, EDN1, EHMT2, EPHA7, ESR1, FBXO5, FGD2, FGFR1OP, FIG4, FLOT1, FOXC1, FOXF2, FYN, GCLC, GGNBP1, GJA10, GMNN, GNL1, GOPC, HDAC2, HEY2, HFE, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AA, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BA, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, HLA-DMA, HLA-DRB1, HMGN3, HSP90AB1, IER3, KATNA1, KCNQ5, KCTD20, KIAA1009, KIF13A, KIFC1, L3MBTL3, LAMA2, LAMA4, LATS1, LRRC16A, LST1, MAP7, MDN1, ME1, MICAL1, MSH5, MTCH1, MTFR2, MTRF1L, MYB, MYO6, NDUFAF4, NEDD9, NUP153, NUP43, OOEP, PARK2, PERP, PEX3, PEX7, PFDN6, PHACTR1, PHF1, PHIP, PLN, PTK7, PTPRK, RAB23, RAB32, RANBP9, RIPK1, RPL10A, RPS10, RPS12, RPS18, RPS6KA2, RSPH4A, RSPH9, SHPRH, SIRT5, SNX9, SOD2, STX11, SYNE1, SYNGAP1, TAPBP, TBPL1, TCP1, TFAP2A, TMEM30A, TNF, TNFAIP3, TNXB, TREM2, TRIM27, TSPYL1, TSPYL4, TTK, TUBB, TUBE1, UBR2, VEGFA, WASF1, ZKSCAN3"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr6,GO:0043933,BP,e,protein-containing complex organization,102/651,117/921,1.11e-05,4,102,0.00426,"ACOT13, AIF1, ALDH5A1, APOM, ASF1A, BRD2, CD2AP, CENPQ, CSNK2B, DDX39B, FBXO5, GMNN, GOPC, HEY2, HFE, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AA, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BA, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, HLA-DMA, HLA-DRB1, KCNQ5, KCTD20, LAMA4, MDN1, ME1, MICAL1, MTRF1L, NDUFAF4, NUP153, OOEP, PFDN6, PLN, RANBP9, RIPK1, RPL10A, RPS10, RPS12, RPS18, SHPRH, SNX9, SOD2, TAPBP, TCP1, TNFAIP3, TRIM27, TSPYL1, TSPYL4, TUBB, TUBE1, WASF1"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr6,GO:0022607,BP,e,cellular component assembly   ,118/651,138/921,1.73e-05,4,118,0.00573,"ACOT13, AHI1, AIF1, ALDH5A1, APOM, ASF1A, ATG5, BAG6, BRD2, CD2AP, CENPQ, CLDN20, CSNK2B, DDX39B, DST, EHMT2, FBXO5, FGD2, FIG4, GJA10, GMNN, GOPC, HEY2, HFE, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AA, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BA, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, HLA-DMA, HLA-DRB1, KCNQ5, KCTD20, KIAA1009, LAMA4, LRRC16A, MDN1, ME1, MSH5, MYO6, NDUFAF4, NEDD9, NUP153, OOEP, PARK2, PFDN6, PHACTR1, PLN, PTPRK, RAB23, RANBP9, RIPK1, RSPH4A, RSPH9, SHPRH, SNX9, SOD2, TAPBP, TBPL1, TCP1, TNFAIP3, TNXB, TRIM27, TSPYL1, TSPYL4, TUBB, TUBE1, WASF1"
