DS,What,chr,GO,NS,enrichment,name,ratio_in_study,ratio_in_pop,p_uncorrected,depth,study_count,p_fdr_bh,study_items
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr4,GO:0000166,MF,e,nucleotide binding            ,50/238,85/643,1.21e-05,4,50,0.0339,"AASDH, ABCE1, ABCG2, ALPK1, BBS12, BDH2, CBR4, CDKL2, CENPE, CLCN3, CPEB2, DCK, DDX60, DDX60L, DHX15, ETFDH, FIP1L1, G3BP2, GRPEL1, GRSF1, GUCY1A3, GUCY1B3, GUF1, HADH, HELQ, HNRNPD, HNRNPDL, KIAA0232, LARP7, MMAA, NEK1, NOA1, PAICS, PAPSS1, PDE5A, PDGFRA, PI4K2B, QDPR, RAB28, RAB33B, RAPGEF2, RASL11B, RBM47, SMARCA5, SMARCAD1, SPATA5, TBCK, TEC, UBA6, UBE2D3"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr4,GO:1901265,MF,e,nucleoside phosphate binding  ,50/238,85/643,1.21e-05,3,50,0.0339,"AASDH, ABCE1, ABCG2, ALPK1, BBS12, BDH2, CBR4, CDKL2, CENPE, CLCN3, CPEB2, DCK, DDX60, DDX60L, DHX15, ETFDH, FIP1L1, G3BP2, GRPEL1, GRSF1, GUCY1A3, GUCY1B3, GUF1, HADH, HELQ, HNRNPD, HNRNPDL, KIAA0232, LARP7, MMAA, NEK1, NOA1, PAICS, PAPSS1, PDE5A, PDGFRA, PI4K2B, QDPR, RAB28, RAB33B, RAPGEF2, RASL11B, RBM47, SMARCA5, SMARCAD1, SPATA5, TBCK, TEC, UBA6, UBE2D3"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr5,GO:0007156,BP,e,homophilic cell adhesion via plasma membrane adhesion molecules,50/330,60/797,7.77e-12,5,50,4.9e-08,"PCDH1, PCDH12, PCDHA1, PCDHA10, PCDHA11, PCDHA12, PCDHA13, PCDHA2, PCDHA3, PCDHA4, PCDHA5, PCDHA6, PCDHA7, PCDHA8, PCDHA9, PCDHAC1, PCDHAC2, PCDHB1, PCDHB10, PCDHB11, PCDHB12, PCDHB13, PCDHB14, PCDHB15, PCDHB16, PCDHB17, PCDHB2, PCDHB3, PCDHB5, PCDHB6, PCDHB7, PCDHB8, PCDHGA1, PCDHGA10, PCDHGA11, PCDHGA12, PCDHGA2, PCDHGA3, PCDHGA4, PCDHGA5, PCDHGA6, PCDHGA7, PCDHGA8, PCDHGA9, PCDHGB1, PCDHGB2, PCDHGB3, PCDHGB4, PCDHGB6, PCDHGB7"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr5,GO:0098742,BP,e,cell-cell adhesion via plasma-membrane adhesion molecules,50/330,61/797,1.94e-11,4,50,6.13e-08,"PCDH1, PCDH12, PCDHA1, PCDHA10, PCDHA11, PCDHA12, PCDHA13, PCDHA2, PCDHA3, PCDHA4, PCDHA5, PCDHA6, PCDHA7, PCDHA8, PCDHA9, PCDHAC1, PCDHAC2, PCDHB1, PCDHB10, PCDHB11, PCDHB12, PCDHB13, PCDHB14, PCDHB15, PCDHB16, PCDHB17, PCDHB2, PCDHB3, PCDHB5, PCDHB6, PCDHB7, PCDHB8, PCDHGA1, PCDHGA10, PCDHGA11, PCDHGA12, PCDHGA2, PCDHGA3, PCDHGA4, PCDHGA5, PCDHGA6, PCDHGA7, PCDHGA8, PCDHGA9, PCDHGB1, PCDHGB2, PCDHGB3, PCDHGB4, PCDHGB6, PCDHGB7"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr5,GO:0098609,BP,e,cell-cell adhesion            ,55/330,71/797,1.21e-10,3,55,2.55e-07,"CYFIP2, FER, GOLPH3, GPR98, PCDH1, PCDH12, PCDHA1, PCDHA10, PCDHA11, PCDHA12, PCDHA13, PCDHA2, PCDHA3, PCDHA4, PCDHA5, PCDHA6, PCDHA7, PCDHA8, PCDHA9, PCDHAC1, PCDHAC2, PCDHB1, PCDHB10, PCDHB11, PCDHB12, PCDHB13, PCDHB14, PCDHB15, PCDHB16, PCDHB17, PCDHB2, PCDHB3, PCDHB5, PCDHB6, PCDHB7, PCDHB8, PCDHGA1, PCDHGA10, PCDHGA11, PCDHGA12, PCDHGA2, PCDHGA3, PCDHGA4, PCDHGA5, PCDHGA6, PCDHGA7, PCDHGA8, PCDHGA9, PCDHGB1, PCDHGB2, PCDHGB3, PCDHGB4, PCDHGB6, PCDHGB7, THBS4"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr5,GO:0007155,BP,e,cell adhesion                 ,61/330,85/797,2.45e-09,2,61,3.87e-06,"APC, CYFIP2, EMB, ERBB2IP, FER, GOLPH3, GPR98, ITGA1, PCDH1, PCDH12, PCDHA1, PCDHA10, PCDHA11, PCDHA12, PCDHA13, PCDHA2, PCDHA3, PCDHA4, PCDHA5, PCDHA6, PCDHA7, PCDHA8, PCDHA9, PCDHAC1, PCDHAC2, PCDHB1, PCDHB10, PCDHB11, PCDHB12, PCDHB13, PCDHB14, PCDHB15, PCDHB16, PCDHB17, PCDHB2, PCDHB3, PCDHB5, PCDHB6, PCDHB7, PCDHB8, PCDHGA1, PCDHGA10, PCDHGA11, PCDHGA12, PCDHGA2, PCDHGA3, PCDHGA4, PCDHGA5, PCDHGA6, PCDHGA7, PCDHGA8, PCDHGA9, PCDHGB1, PCDHGB2, PCDHGB3, PCDHGB4, PCDHGB6, PCDHGB7, RGMB, THBS4, VCAN"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr5,GO:0005509,MF,e,calcium ion binding           ,61/330,88/797,3.29e-08,5,61,4.15e-05,"ANXA6, CETN3, EFCAB9, F12, GPR98, KCNIP1, MCC, PAM, PCDH1, PCDH12, PCDHA1, PCDHA10, PCDHA11, PCDHA12, PCDHA13, PCDHA2, PCDHA3, PCDHA4, PCDHA5, PCDHA6, PCDHA7, PCDHA8, PCDHA9, PCDHAC1, PCDHAC2, PCDHB1, PCDHB10, PCDHB11, PCDHB12, PCDHB13, PCDHB14, PCDHB15, PCDHB16, PCDHB17, PCDHB2, PCDHB3, PCDHB5, PCDHB6, PCDHB7, PCDHB8, PCDHGA1, PCDHGA10, PCDHGA11, PCDHGA12, PCDHGA2, PCDHGA3, PCDHGA4, PCDHGA5, PCDHGA6, PCDHGA7, PCDHGA8, PCDHGA9, PCDHGB1, PCDHGB2, PCDHGB3, PCDHGB4, PCDHGB6, PCDHGB7, PKD2L2, THBS4, VCAN"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0065004,BP,e,protein-DNA complex assembly  ,59/366,62/953,1.47e-22,6,59,8.17e-19,"ASF1A, CENPQ, HEY2, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, SHPRH, TSPYL1, TSPYL4"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0006334,BP,e,nucleosome assembly           ,58/366,61/953,4.05e-22,7,58,8.17e-19,"ASF1A, CENPQ, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, SHPRH, TSPYL1, TSPYL4"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0071824,BP,e,protein-DNA complex subunit organization,59/366,63/953,1.53e-21,5,59,1.59e-18,"ASF1A, CENPQ, HEY2, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, SHPRH, TSPYL1, TSPYL4"
